location,latitude,longitude,iron,manganese,copper,zinc,lead,cadmium,chromium,nickel,fluoride,chloride,sulfate,tds
Hyderabad Central,17.3850,78.4867,0.45,0.12,0.08,0.95,0.008,0.002,0.035,0.045,1.2,85,45,875
Warangal Urban,18.0074,79.5881,0.65,0.18,0.12,1.25,0.012,0.003,0.042,0.055,0.9,125,65,1150
Karimnagar,18.4386,79.1288,0.28,0.08,0.05,0.75,0.006,0.001,0.025,0.032,1.1,95,38,720
Nizamabad,18.6725,78.0941,0.52,0.15,0.09,1.10,0.009,0.002,0.038,0.048,1.3,110,52,980
Mahbubnagar,16.7569,77.9975,0.38,0.11,0.07,0.85,0.007,0.002,0.028,0.036,0.8,75,35,650
Nalgonda,17.0534,79.2021,0.72,0.22,0.15,1.45,0.015,0.004,0.055,0.068,1.6,140,75,1320
Medak,18.0480,78.2752,0.35,0.09,0.06,0.80,0.005,0.001,0.022,0.028,1.0,88,42,780
Rangareddy,17.4065,78.3428,0.48,0.13,0.10,1.05,0.011,0.003,0.040,0.050,1.4,105,58,920
Khammam,17.2473,80.1514,0.58,0.16,0.11,1.15,0.010,0.002,0.045,0.056,1.1,115,62,1050
Adilabad,19.6940,78.5360,0.42,0.12,0.08,0.90,0.008,0.002,0.032,0.040,0.7,92,48,820
Siddipet,18.1018,78.8533,0.36,0.10,0.06,0.82,0.006,0.001,0.026,0.033,1.2,82,40,710
Sangareddy,17.6189,78.0831,0.44,0.13,0.09,1.00,0.009,0.002,0.036,0.045,1.3,98,55,890
Vikarabad,17.3377,77.9015,0.31,0.08,0.05,0.72,0.005,0.001,0.020,0.025,0.9,70,32,630
Rajanna Sircilla,18.3889,78.8132,0.49,0.14,0.10,1.08,0.010,0.003,0.041,0.051,1.1,108,60,960
Jangaon,17.7264,79.1815,0.41,0.11,0.07,0.88,0.007,0.002,0.030,0.038,1.0,86,45,760
Bhupalapally,18.4364,80.0183,0.55,0.17,0.12,1.20,0.012,0.003,0.048,0.059,1.2,120,68,1080
Mahabubabad,17.5983,80.0041,0.47,0.14,0.09,1.02,0.009,0.002,0.038,0.047,1.1,102,56,930
Wanaparthy,16.3670,78.0653,0.33,0.09,0.06,0.78,0.006,0.001,0.024,0.030,0.8,78,36,680
Nagarkurnool,16.4868,78.3137,0.39,0.11,0.07,0.86,0.007,0.002,0.029,0.037,1.0,90,43,750
Jogulamba Gadwal,16.2089,77.7950,0.29,0.08,0.05,0.70,0.005,0.001,0.019,0.024,0.7,68,30,610
Hyderabad Industrial,17.4400,78.3800,0.85,0.28,0.20,1.75,0.022,0.006,0.075,0.092,1.8,180,95,1580
Secunderabad,17.4399,78.4983,0.53,0.16,0.11,1.12,0.013,0.003,0.046,0.057,1.4,118,64,1020
Kompally,17.5378,78.4908,0.46,0.13,0.09,0.98,0.010,0.002,0.037,0.046,1.3,96,53,870
Uppal,17.4067,78.5562,0.51,0.15,0.10,1.08,0.011,0.003,0.043,0.053,1.5,112,61,980
LB Nagar,17.3513,78.5521,0.48,0.14,0.09,1.05,0.010,0.002,0.039,0.049,1.2,106,58,940
